bl_part_id,boid,bk_part_id,item_type,brikick_name,api_item_type,bk_part_key,bl_color_id,bo_color_id,bk_color_id,weight,bk_img_url
6473558,,,P,,,,0,,0,2.7,
6473stk01,,,P,,,,0,,0,0.2,
6474,55668-92,,P,,,,1,92,176,8.0,
6474,55668-93,,P,,,,3,93,177,8.0,
6474,55668-80,,P,,,,4,80,102,8.0,
6474,55668-81,,P,,,,5,81,116,8.0,
6474,55668-61,,P,,,,6,61,54,8.0,
6474,55668-39,,P,,,,7,39,6,8.0,
6474,55668-53,,P,,,,10,53,27,8.0,
6474,55668-38,,P,,,,11,38,5,8.0,
6474,55668-101,,P,,,,15,101,152,8.0,
6474,55668-70,,P,,,,34,70,73,8.0,
6474,55668-41,,P,,,,36,41,8,8.0,
6474,55668-56,,P,,,,59,56,33,8.0,
6474,55668-54,,P,,,,68,54,30,8.0,
6474,55668-57,,P,,,,69,57,36,8.0,
6474,55668-50,,P,,,,85,50,25,8.0,
6474,55668-64,,P,,,,86,64,59,8.0,
6474,55668-82,,P,,,,88,82,117,8.0,
6474,55668-55,,P,,,,89,55,84,8.0,
6474,55668-45,,P,,,,104,45,12,8.0,
6474,55668-36,,P,,,,154,36,55,8.0,
6474,55668-73,,P,,,,156,73,77,8.0,
6474451,,,P,,,,0,,0,4.4,
6474pb01,22929-81,,P,,,,5,81,116,8.0,
6474pb02,419393-93,,P,,,,3,93,177,8.0,
6474pb03,759612-81,,P,,,,5,81,116,8.0,
6474pb04,871765-92,,P,,,,1,92,176,8.0,
6474pb05,753956-39,,P,,,,7,39,6,8.0,
6474pb06,422711-93,,P,,,,3,93,177,8.0,
6474pb08,704636-81,,P,,,,5,81,116,8.0,
6474pb11,,,P,,,,0,,0,8.0,
6474pb12,,,P,,,,0,,0,8.0,
6474pb13,777491-64,,P,,,,86,64,59,8.0,
6474pb14,569768-64,,P,,,,86,64,59,8.0,
6474pb15,151116-64,,P,,,,86,64,59,8.0,
6474pb16,565923-81,,P,,,,5,81,116,8.0,
6474pb17,,,P,,,,0,,0,8.0,
6474pb18,696623-64,,P,,,,86,64,59,8.0,
6474pb19,,,P,,,,0,,0,8.0,
6474pb20,564694-81,,P,,,,5,81,116,8.0,
6474pb21,494079-81,,P,,,,5,81,116,8.0,
6474pb22,106856-80,,P,,,,4,80,102,8.0,
6474pb23,149024-64,,P,,,,86,64,59,8.01,
6474pb24,538568-93,,P,,,,3,93,177,8.0,
6474pb25,749688-64,,P,,,,86,64,59,8.0,
6474pb26,677778-93,,P,,,,3,93,177,7.8,
6474pb27,33073-93,,P,,,,3,93,177,7.8,
6474pb28,72173-64,,P,,,,86,64,59,8.0,
6474pb29,792674-39,,P,,,,7,39,6,8.0,
6474pb30,131190-39,,P,,,,7,39,6,8.0,
6474pb31,692621-64,,P,,,,86,64,59,8.0,
6474pb32,183903-41,,P,,,,36,41,8,8.0,
6474pb33,549584-80,,P,,,,4,80,102,8.0,
6474pb33,549584-38,,P,,,,11,38,5,8.0,
