bl_part_id,bl_color_id,boid
970c00pb0113,85,969301
970c00pb0114,69,40357
970c00pb0115,11,529022
970c00pb0116,11,420299
970c00pb0117,55,229065
970c00pb0118,1,919166
970c00pb0119,88,262037
970c00pb0120,153,35929
970c00pb0121,11,234096
970c00pb0122,2,179473
970c00pb0123,47,148022
970c00pb0124,5,829229
970c00pb0125,11,874880
970c00pb0126,63,187241
970c00pb0127,1,156048
970c00pb0128,110,58378
970c00pb0129,63,811325
970c00pb0130,69,916627
970c00pb0131,7,970155
970c00pb0132,1,831214
970c00pb0133,5,319950
970c00pb0134,86,789869
970c00pb0135,1,25294
970c00pb0136,105,417083
970c00pb0137,11,906155
970c00pb0138,5,966563
970c00pb0139,63,433506
970c00pb0140,11,199029
970c00pb0141,34,118678
970c00pb0142,47,852834
970c00pb0143,11,778232
970c00pb0144,120,87980
970c00pb0145,5,892191
970c00pb0146,88,307255
970c00pb0147,1,121257
970c00pb0148,1,226421
970c00pb0149,11,768317
970c00pb0150,1,156187
970c00pb0151,1,459517
970c00pb0152,5,303209
970c00pb0153,34,288747
970c00pb0154,59,821671
970c00pb0155,59,489450
970c00pb0156,1,443796
970c00pb0157,69,879050
970c00pb0158,7,300776
970c00pb0159,120,360424
970c00pb0160,11,131990
970c00pb0161,69,639075
970c00pb0162,85,156284
970c00pb0163,86,96458
970c00pb0164,55,545230
970c00pb0165,155,122848
970c00pb0166,1,528964
970c00pb0168,1,240527
970c00pb0169,7,381799
970c00pb0170,5,521492
970c00pb0171,11,327508
970c00pb0172,85,273990
970c00pb0173,11,827748
970c00pb0174,120,833788
970c00pb0175,153,394248
970c00pb0176,11,54169
970c00pb0177,63,602106
970c00pb0178,34,549435
970c00pb0179,34,512687
970c00pb0180,105,548897
970c00pb0181,11,851644
970c00pb0182,11,800435
970c00pb0183,6,370568
970c00pb0184,63,341095
970c00pb0185,63,244232
970c00pb0186,1,249619
970c00pb0187,85,603656
970c00pb0188,86,771862
970c00pb0189,110,283031
970c00pb0190,5,736900
970c00pb0191,55,927147
970c00pb0192,36,378490
970c00pb0192,6,378490
970c00pb0193,48,282130
970c00pb0194,1,49995
970c00pb0195,63,906455
970c00pb0196,2,25391
970c00pb0197,1,289523
970c00pb0198,1,288254
970c00pb0199,11,545883
970c00pb0200,11,616031
970c00pb0201,1,561245
970c00pb0203,7,449819
970c00pb0206,11,51926
970c00pb0207,155,503928
970c00pb0208,120,599823
970c00pb0209,59,355573
970c00pb0210,153,738925
970c00pb0211,155,969392
970c00pb0212,120,695669
970c00pb0213,36,982157
970c00pb0213,153,982157
970c00pb0213,4,982157
970c00pb0213,5,982157
970c00pb0214,59,219011
970c00pb0215,153,336541
970c00pb0216,11,585814
970c00pb0217,11,316836
970c00pb0218,11,108403
970c00pb0219,11,867846
970c00pb0220,115,53736
970c00pb0221,11,35550
970c00pb0222,11,246336
970c00pb0223,5,334866
970c00pb0224,7,84546
970c00pb0225,63,152792
970c00pb0226,11,359257
970c00pb0227,5,373070
970c00pb0228,4,440046
970c00pb0229,11,904141
970c00pb0230,11,988101
970c00pb0231,36,1291
970c00pb0232,11,277773
970c00pb0233,59,437921
970c00pb0234,59,954784
970c00pb0235,59,703575
970c00pb0236,59,488847
970c00pb0237,85,642065
970c00pb0238,155,88670
970c00pb0239,7,813287
970c00pb0240,1,380990
970c00pb0241,1,58063
970c00pb0242,11,508957
970c00pb0243,110,363148
970c00pb0244,85,276074
970c00pb0245,86,844498
970c00pb0246,1,947963
970c00pb0247,69,591910
970c00pb0248,69,951902
970c00pb0249,11,815810
970c00pb0249,63,815810
970c00pb0251,120,986453
970c00pb0252,7,164923
970c00pb0253,85,62146
970c00pb0254,2,277823
970c00pb0255,1,204551
970c00pb0256,85,978513
970c00pb0257,11,70999
970c00pb0258,63,213939
970c00pb0259,11,337771
970c00pb0260,120,443069
970c00pb0261,11,652985
970c00pb0262,55,241913
970c00pb0263,1,431171
970c00pb0264,1,653277
970c00pb0265a,150,518687
970c00pb0265b,68,518687
970c00pb0266,1,868092
970c00pb0267,155,608061
970c00pb0268,120,222263
970c00pb0269,103,356940
970c00pb0270,55,66775
970c00pb0271,11,697180
970c00pb0272,63,550150
970c00pb0273,155,764907
970c00pb0274,63,173459
970c00pb0275,120,123793
970c00pb0276,85,632277
970c00pb0277,120,697397
970c00pb0278,120,55628
970c00pb0279,59,468716
970c00pb0280,11,461363
970c00pb0281,120,32225
970c00pb0282,4,939309
970c00pb0283,11,582256
970c00pb0284,11,150634
970c00pb0285,11,494734
970c00pb0286,11,860927
970c00pb0287,11,921435
970c00pb0288,63,16190
970c00pb0289,120,957553
970c00pb0290,59,917608
970c00pb0291,59,126061
970c00pb0292,88,48636
970c00pb0293,63,990945
970c00pb0294,55,459405
970c00pb0295,7,810481
970c00pb0296,28,534027
970c00pb0297,85,406093
970c00pb0298,1,848410
970c00pb0299,11,931668
970c00pb0300,85,208272
970c00pb0301,7,244766
970c00pb0302,6,807978
970c00pb0303,11,979605
970c00pb0304,85,894621
970c00pb0305,68,889090
970c00pb0306,6,671449
970c00pb0307,42,184450
970c00pb0308,7,770620
970c00pb0309,7,759116
970c00pb0310,7,822244
970c00pb0312,2,212264
970c00pb0313,115,888724
970c00pb0314,85,280550
970c00pb0315,11,22469
970c00pb0316,68,929963
970c00pb0317,4,564845
970c00pb0318,5,804716
970c00pb0319,11,508208
970c00pb0320,5,471525
970c00pb0321,5,131576
970c00pb0322,36,825216
970c00pb0323,11,299721
970c00pb0324,120,946768
970c00pb0325,1,467749
970c00pb0326,11,493811
970c00pb0327,4,881647
970c00pb0328,155,376377
970c00pb0329,2,573653
970c00pb0330,156,163225
970c00pb0331,11,293919
970c00pb0332,110,398907
970c00pb0333,85,36249
970c00pb0334,11,497570
970c00pb0335,11,681633
970c00pb0336,155,490381
970c00pb0337,69,479066
970c00pb0338,55,702999
970c00pb0339,55,134826
970c00pb0340,104,435047
970c00pb0341,88,660843
970c00pb0342,155,502572
970c00pb0343,89,329065
970c00pb0344,11,932595
970c00pb0345,86,693454
970c00pb0346,88,361327
970c00pb0347,88,26873
970c00pb0348,63,426790
970c00pb0349,6,984131
970c00pb0350,5,1196227
970c00pb0351,11,155744
970c00pb0352,120,759557
970c00pb0353,88,876526
970c00pb0354,63,200311
970c00pb0355,5,929012
970c00pb0356,89,564770
970c00pb0357,69,363892
